,precision,recall,f1-score,support
BRCA_Basal,1.0,0.975,0.9873417721518988,40.0
BRCA_Her2,0.8235294117647058,0.875,0.8484848484848485,16.0
BRCA_LumA,0.9292035398230089,0.9210526315789473,0.9251101321585903,114.0
BRCA_LumB,0.8181818181818182,0.8571428571428571,0.8372093023255814,42.0
BRCA_Normal,0.5714285714285714,0.5,0.5333333333333333,8.0
accuracy,0.9,0.9,0.9,0.9
macro avg,0.828468668239621,0.8256390977443608,0.8262958776908504,220.0
weighted avg,0.9001851775596511,0.9,0.8998247313284269,220.0
