fold,accuracy,macro_f1
1,0.8909090909090909,0.8309479523576441
2,0.8590909090909091,0.7765817161561842
3,0.8772727272727273,0.8189096139353115
4,0.8909090909090909,0.8522593768487943
5,0.8812785388127854,0.7343394797669205
