,precision,recall,f1-score,support
BRCA_Basal,1.0,0.975,0.9873417721518988,40.0
BRCA_Her2,0.7368421052631579,0.875,0.8,16.0
BRCA_LumA,0.9459459459459459,0.9210526315789473,0.9333333333333333,114.0
BRCA_LumB,0.8333333333333334,0.8333333333333334,0.8333333333333334,42.0
BRCA_Normal,0.6666666666666666,0.75,0.7058823529411765,8.0
accuracy,0.9045454545454545,0.9045454545454545,0.9045454545454545,0.9045454545454545
macro avg,0.8365576102418208,0.8708771929824561,0.8519781583519483,220.0
weighted avg,0.9089120220699168,0.9045454545454545,0.9060942259527517,220.0
