gene,tabnet_importance,tabnet_rank,mean_abs_shap,shap_rank
FAT4,0.0,153,0.0,501
PYGM,0.0,154,0.0007051397,443
TBX15,0.0,155,0.0019742658,347
ADHFE1,0.0,156,0.0026662992,309
CIDEC,0.0,157,0.00060217775,453
MYH1,0.0,158,0.0056818696,201
NR3C2,0.0,159,0.00062828534,452
CFL2,0.0,160,0.0031117485,286
ACSL1,0.0,161,0.041543126,37
GJB2,0.0,162,0.006054568,194
GPR146,0.0,163,0.002461185,324
SRPX,0.0,164,0.0005891549,458
PRELP,0.0,165,0.00047231355,470
MYOC,0.0,166,0.012649382,102
PPP1R1A,0.0,167,0.00034403964,478
AOX1,0.0,168,0.0010029337,412
HCAR3,0.0,169,0.0007200448,442
GPD1,0.0,170,0.00016618073,492
POSTN,0.0,171,0.0009593631,416
AP1M2,0.0,172,0.00057581865,461
RDH5,0.0,173,0.0006788604,445
FADS3,0.0,174,0.0020737865,341
IRF7,0.0,175,0.0065908814,182
TRHDE,0.0,176,0.00085125637,426
RSPO3,0.0,177,0.004055981,250
TNNT1,0.0,178,0.008075856,157
CELF2,0.0,179,0.0,503
ACADL,0.0,180,0.0015522636,371
GABARAPL1,0.0,181,0.001786161,358
DPT,0.0,182,0.00049877074,467
BHMT2,0.0,183,0.0036981793,264
KRT19,0.0,184,0.00020903168,489
IGSF10,0.0,185,0.006651309,181
PLXNA4,0.0,186,0.012258762,104
MTURN,0.0,187,0.0030074632,293
AKR1C3,0.0,188,0.0067703705,177
CACNA2D1,0.0,189,0.0066749733,179
CHRDL1,0.0,190,0.0020465266,343
PFKFB3,0.0,191,0.0007250518,439
PCK1,0.0,192,0.0044290177,241
FOLR2,0.0,193,0.0015257724,375
RBPMS2,0.0,194,0.0010474768,406
ZEB2,0.0,195,0.0,514
HOTAIR,0.0,196,0.0038643752,257
CHTF18,0.0,197,0.0068338104,174
ACO1,0.0,198,0.0034684865,269
TYMP,0.0,199,0.0003333239,481
PC,0.0,200,0.00243196,325
CPM,0.0,201,0.0055102,208
FERMT2,0.0,202,0.0021348642,336
DAAM2,0.0,203,0.000968076,414
DOCK11,0.0,204,0.0008065634,431
CRYBG3,0.0,205,0.00028026322,484
MMD,0.0,206,0.011172737,117
