"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","significant"
154.201151897652,-3.49009387711458,0.252115595434513,-13.843228821682,1.39783897327957e-43,2.21967366029236e-42,"TNMD",TRUE
139.150146472373,2.81052288680918,0.208815896973036,13.4593339278766,2.71351200955472e-41,3.9552576268957e-40,"AOC1",TRUE
734.314914114491,-2.58819778375987,0.15338837044839,-16.873494230325,7.0499805575128e-64,2.11744718762876e-62,"KLHL13",TRUE
457.160610001268,-2.11670406773618,0.138497405040028,-15.2833482123685,9.87347737559715e-53,2.14571643268264e-51,"CYP26B1",TRUE
2523.3447098206,1.89814688267303,0.104371800866393,18.1863958168439,6.61496387141597e-74,2.75315179064911e-72,"DBNDD1",TRUE
1484.5596147008,-1.75295309219755,0.124658324653265,-14.0620620169038,6.49653205918612e-45,1.08276397513806e-43,"TFPI",TRUE
400.222147999337,-4.50359237151056,0.168256672288234,-26.7662037425514,7.99879524739774e-158,2.19890447692794e-155,"HSPB6",TRUE
5883.07743001881,-3.597226080912,0.153866982663582,-23.3788043324217,7.02241921236365e-121,9.41265879520544e-119,"PDK4",TRUE
668.879941134309,2.52657815971722,0.151675696463943,16.657765341581,2.65770478838796e-62,7.57638960811258e-61,"ZMYND10",TRUE
57.0882178138999,-3.54501957476296,0.19846843188839,-17.8618813129764,2.3363016234064e-71,8.90766590690993e-70,"ABCB5",TRUE
68.4303739055265,1.87086256721499,0.268124392937554,6.97759180624314,3.00282596276598e-12,1.18282347862535e-11,"ARX",TRUE
5.31216501037817,-2.12026924420416,0.216031089280635,-9.81464867517209,9.73765900772924e-23,6.64470138772481e-22,"SLC4A1",TRUE
466.709139581048,-2.66667542937156,0.16549187200462,-16.1136338423745,2.04636602212152e-58,5.23229606130124e-57,"MEOX1",TRUE
254.804540748321,-1.72425798304448,0.126309627427028,-13.6510416360829,1.99013362435437e-42,3.03405747888147e-41,"ACSM3",TRUE
4586.51004103244,-2.48797490631846,0.116701052041843,-21.3192157464562,7.53098617973744e-101,6.38580281959662e-99,"PRKAR2B",TRUE
