gene,logrank_pvalue,significant,cox_pvalue,hazard_ratio,cox_significant
AGR3,0.1934830293610049,False,0.1447170133923637,0.9721969464660587,False
AURKA,0.1832831018275447,False,0.30760921429330107,1.0683946799631903,False
CA12,0.5750924216887783,False,0.4792164236102249,0.9773251267403996,False
CDC20,0.9725331293130688,False,0.4991629853016394,1.0387834028248732,False
CENPK,,,0.4914829460567606,1.0584311897273735,False
CEP55,0.0484305363162883,True,0.44341608888030204,1.0483630492927065,False
CYP2B7P,0.8173234888300283,False,0.9109193165891062,1.002131625434167,False
EZH2,,,0.7214377904202345,1.0297220158041283,False
F3,,,0.35888606786137456,0.9485330928375402,False
FOXA1,0.9848262826544748,False,0.7412351805663027,0.9906297708181149,False
GATA3,0.1983795234165132,False,0.1468286459042392,0.9491987313439842,False
HOXA5,0.4282594999845048,False,0.8227529286770694,0.9877811854379133,False
KIF18B,,,0.4782537838820643,1.0406476870953603,False
KIF20A,,,0.20154243334334393,1.0837274427797838,False
MAMDC2,0.5288960774392031,False,0.686418368066763,1.0201578448096984,False
MLPH,0.0112279834380026,True,0.3050106484559955,0.9678369081803508,False
MT1M,0.4479191448040549,False,0.047322994024009406,0.9039751837196083,True
NAT1,0.2996302237413086,False,0.30200969459560456,0.9702004144913935,False
NPY1R,0.0194635735058911,True,0.005593738117215286,0.9341033515429504,True
PAMR1,,,0.45344228042812296,0.9559671418572331,False
PCDH9,,,0.2813672148657047,1.0525031936205427,False
RGN,,,0.6268728345166419,0.9771002817528497,False
RRM2,0.7202341460928656,False,0.1317247170460838,1.100080827590982,False
SDC1,0.0242471934188879,True,0.015047483020127225,1.19057024099361,True
SFRP1,0.0221134490065727,True,0.031097432059553676,0.9393932064935484,True
SLC16A6,0.2249199303714489,False,0.1274458878074274,0.9401672317790241,False
SLC39A6,0.2109588103036362,False,0.39268480851203924,0.9632304226987101,False
TFF1,,,0.017237146444188986,0.9612588889497831,True
TSLP,0.0095478692200209,True,0.0007011294544890622,0.8611209925874893,True
