gene,tabnet_importance,tabnet_rank
MYEOV,0.0,211
CEBPA,0.0,212
SBK1,0.0,213
HSD11B1,0.0,214
LLGL2,0.0,215
SPTBN1,0.0,216
TUFT1,0.0,217
GPAM,0.0,218
EMX2,0.0,219
LPL,0.0,220
CST6,0.0,221
ACSS2,0.0,222
FN1,0.0,223
AIFM2,0.0,224
XG,0.0,225
MRAP,0.0,226
PDE3B,0.0,227
ZNF106,0.0,228
AGPAT2,0.0,229
KLB,0.0,230
SULF1,0.0,231
NAT8L,0.0,232
TMEM170B,0.0,233
S100P,0.0,234
S100A14,0.0,235
KIFC2,0.0,236
CAT,0.0,237
FOXO6,0.0,238
P2RY14,0.0,239
IFI6,0.0,240
C15orf48,0.0,241
GYG2,0.0,242
MEST,0.0,243
IGSF9,0.0,244
ISG15,0.0,245
RBP4,0.0,246
CRABP2,0.0,247
SIM1,0.0,248
PKDCC,0.0,249
ADAMTS5,0.0,250
TMTC1,0.0,251
DDR2,0.0,252
NPR3,0.0,253
PPARG,0.0,254
PYCARD,0.0,255
RGL1,0.0,256
VIT,0.0,257
SGCG,0.0,258
COMP,0.0,259
ALDOC,0.0,260
LGALS12,0.0,261
ALPK3,0.0,262
GIMAP6,0.0,263
PCDH18,0.0,264
CCDC69,0.0,265
SLC16A7,0.0,266
MEDAG,0.0,267
RHOXF1,0.0,268
RASD1,0.0,269
CLMP,0.0,270
SLC39A4,0.0,271
GPC3,0.0,272
MME,0.0,273
RUSC1,0.0,274
ANGPTL2,0.0,275
MYZAP,0.0,276
ENO2,0.0,277
TLN2,0.0,278
SEL1L2,0.0,279
LIPE-AS1,0.0,280
LEP,0.0,281
PRKAR2B,0.0,282
ALDH2,0.0,283
MX1,0.0,284
KLHL31,0.0,285
PAFAH1B3,0.0,286
ABCD2,0.0,287
GPX3,0.0,288
ERP27,0.0,289
DMRT2,0.0,290
EFEMP1,0.0,291
LINC00968,0.0,292
PCDH9,0.0,293
MLXIPL,0.0,294
EGLN3,0.0,295
