gene,multivariate_hr,multivariate_pvalue,independent
MLPH,0.9359949031277012,0.2799299206526902,False
SFRP1,0.9271274519044546,0.03789758897721186,True
FOXA1,1.0045547534833674,0.9367953800782405,False
NPY1R,0.9595934737948633,0.1118972446698301,False
RRM2,0.962908724056744,0.6204944859324745,False
