,accuracy,macro_f1,auroc
no_handling,0.8772727272727273,0.7938298938088559,0.9869675211118556
class_weights,0.9045454545454545,0.8519781583519483,0.9880462778031929
smote,0.9045454545454545,0.8512080982309754,0.988156924033835
